id_game,game_name,id_game_group,game_group_name
28,Gran Turismo Sport,4,Racing
41,Gears of War,7,Third-person shooters
44,Hearthstone,8,Others
37,Madden,6,Sports games
17,Rainbow Six: Siege,2,First-person shooters
23,Heroes of the Storm,3,Multiplayer online battle arena
12,Painkiller,2,First-person shooters
4,Tekken,1,Fighting games
14,CrossFire,2,First-person shooters
13,Battlefield series,2,First-person shooters
33,StarCraft,5,Real-time strategy
46,Puyo Puyo,8,Others
2,Super Smash Bros.,1,Fighting games
43,PlayerUnknown's Battlegrounds,7,Third-person shooters
29,iRacing,4,Racing
27,Formula One official games,4,Racing
38,NBA 2K,6,Sports games
1,Street Fighter,1,Fighting games
10,Unreal Tournament,2,First-person shooters
21,Dota 2,3,Multiplayer online battle arena
31,TrackMania,4,Racing
6,Doom,2,First-person shooters
34,StarCraft II,5,Real-time strategy
9,Call of Duty series,2,First-person shooters
30,Project CARS,4,Racing
49,World of Tanks,8,Others
3,Marvel vs. Capcom,1,Fighting games
5,Killer Instinct,1,Fighting games
7,Quake,2,First-person shooters
8,Counter-Strike series,2,First-person shooters
18,Alliance of Valiant Arms,2,First-person shooters
35,Warcraft III,5,Real-time strategy
47,Tetris,8,Others
24,Vainglory,3,Multiplayer online battle arena
32,Garfield Kart: Furious Racing,4,Racing
22,Smite,3,Multiplayer online battle arena
39,Pro Evolution Soccer,6,Sports games
11,Halo series,2,First-person shooters
20,League of Legends,3,Multiplayer online battle arena
19,Special Force II,2,First-person shooters
50,World of Warcraft,8,Others
16,Team Fortress 2,2,First-person shooters
25,Arena of Valor,3,Multiplayer online battle arena
15,Overwatch,2,First-person shooters
26,Mobile Legends: Bang Bang,3,Multiplayer online battle arena
48,War Thunder,8,Others
51,Clash Royale,8,Others
45,Pokémon,8,Others
40,Rocket League,6,Sports games
42,Fortnite,7,Third-person shooters
36,FIFA series,6,Sports games
